category;adapted item;scale
HLB;Der Agent hat ein menschenähnliches Verhalten.;7point likert scale
AU;Der Agent ist einfach zu bedienen. ;7point likert scale
PF;Der Agent erledigt seine Aufgabe gut. ;7point likert scale
AL;Ich mag den Agenten.;7point likert scale
AS;Der Agent kann sich gut mit anderen unterhalten. ;7point likert scale
UAA;Ich werde den Agenten in der Zukunft wieder verwenden. ;7point likert scale
AE;Der Agent ist langweilig.;7point likert scale
UE;Die Interaktion zog meine Aufmerksamkeit auf sich.;7point likert scale
UT;Ich kann mich auf den Agenten verlassen.;7point likert scale
AA;Der Agent ist aufmerksam. ;7point likert scale
AC;Das Verhalten von dem Agenten ergibt keinen Sinn.;7point likert scale
AI;Der Agent hat keine Ahnung was er tut. ;7point likert scale
AT ;Ich sehe die Interaktion mit dem Agenten als etwas Positives.;7point likert scale
IIS;Andere würden mich dazu ermutigen, den Agenten zu verwenden.;7point likert scale
attention check;Wählen Sie “Stimme nicht zu”.;7point likert scale
