Quarto,"sein(QUARTO, BRETTSPIEL)",Quarto ist ein Brettspiel.
Quarto,"sein(QUARTO, KOMPLEX)",Quarto ist ein komplexes Spiel.
Quarto,"sein(QUARTO, GESELLSCHAFTSSPIEL)",Quarto ist ein Gesellschaftsspiel.
Quarto,"sein(LAENGE, 10MIN)",Quarto dauert ca. 10 Minuten.
Spielbrett,"neben(AUSGEWAEHLT, BRETT)",Es gibt einen Bereich für ausgewählte Figuren.
Spielbrett,"anzahl(FELDER, 16)",Es gibt 16 Felder.
Spielbrett,"haben(BRETT, FELDER)",Das Spielbrett besteht aus Feldern.
Spielbrett,"haben(QUARTO, BRETT)",Quarto hat ein Spielbrett.
Spielbrett,"haben(QUARTO, STALL)",Es gibt den Stall.
Spielfiguren,"sein(GROESSE, MERKMAL)",Die Größe ist ein Merkmal.
Spielfiguren,"sein(STRUKTUR, MERKMAL)",Die Struktur ist ein Merkmal.
Spielfiguren,"anzahl(FIGUREN, 16)",Es gibt 16 Figuren.
Spielfiguren,"anzahl(MERKMAL, 4)",Es gibt 4 Merkmale.
Spielfiguren,"sein(FORM, MERKMAL)",Die Form ist ein Merkmal.
Spielfiguren,"haben(QUARTO, FIGUREN)",Quarto hat Figuren.
Spielfiguren,"haben(FIGUREN, MERKMAL)",Figuren haben Merkmale.
Spielfiguren,"sein(FARBE, MERKMAL)",Die Farbe ist ein Merkmal.
Spieler,"sein(SPIELER, GEGNER)",Die Spieler spielen gegeneinander.
Spieler,"anzahl(SPIELER, 2)",Es gibt zwei Spieler.
Spieler,"haben(QUARTO, SPIELER)",Bei Quarto gibt es Spieler.
Spieler,"spielen(SPIELER, ABWECHSELND)",Die Spieler spielen abwechselnd.
Spielziel,"sein(REIHE, ZIEL)","Ziel des Spiels ist es, eine Reihe zu bilden."
Spielziel,"identisch(REIHE, MERKMAL)",Eine Reihe besteht aus gleichen Merkmalen.
Spielziel,"option(REIHE, HORIZONTAL)",Eine Reihe kann horizontal angeordnet sein.
Spielziel,"option(REIHE, VERTIKAL)",Eine Reihe kann vertikal angeordnet sein.
Spielziel,"option(REIHE, DIAGONAL)",Eine Reihe kann diagonal angeordnet sein.
Spielziel,"laenge(REIHE, 4)",Eine Reihe hat die Länge 4.
Spielziel,"haben(QUARTO, ZIEL)",Quarto hat ein Ziel.
Spielzuege,"setzen(SETZEN, FIGUR)",Beim Setzen setzt man die Figur.
Spielzuege,"anzahl(SPIELZUEGE, 3)",Es gibt drei Spielzüge.
Spielzuege,"ziel(SETZEN, FELD)",Beim Setzen setzt man auf das Feld.
Spielzuege,"nutzen(SETZEN, AUSGEWAEHLT)",Beim Setzen nimmt man die ausgewählte Figur.
Spielzuege,"haben(QUARTO, SPIELZUEGE)",Quarto hat Spielzüge.
Spielzuege,"sein(SETZEN, SPIELZUG)",Es gibt den Spielzug Setzen.
Spielzuege,"sein(RUFEN, SPIELZUG)",Rufen ist ein Spielzug.
Spielzuege,"sein(WAEHLEN, SPIELZUG)",Es gibt den Spielzug Wählen.
Spielzuege,"waehlen(WAEHLEN, FIGUR)",Man wählt eine Figur.
Spielzuege,"bedingung(SIEG, RUFEN)","Wenn man Quarto ruft, dann gewinnt man."
Spielzuege,"fuer(WAEHLEN, GEGNER)",Man wählt für den Gegner.
Spielzuege,"sagen(RUFEN, QUARTO)",Beim Rufen sagt man Quarto.
Spielzuege,"bedingung(REIHE, RUFEN)","Man ruft Quarto, wenn eine Reihe existiert."
Spielzuege,"aus(WAEHLEN, STALL)",Man wählt aus dem Stall.
Ende,"anzahl(AUSGAENGE, 3)",Es gibt drei moegliche Ausgänge
Ende,"option(AUSGANG, UNENTSCHIEDEN)",Das Spiel kann unentschieden enden.
Ende,"haben(QUARTO, AUSGAENGE)",Quarto hat verschiedene Ausgänge.
Ende,"option(AUSGANG, SIEG)",Quarto kann man gewinnen.
Ende,"option(AUSGANG, NIEDERLAGE)",Quarto kann man verlieren.
Strategien,"sein(PASSIV, TAKTIK)",Man kann passiv spielen.
Strategien,"sein(BLOCKEN, PASSIV)","Wenn man passiv spielt, dann blockiert man den Gegner."
Strategien,"sein(TAKTIK, KOMBINIERBAR)",Man kann Taktiken kombinieren.
Strategien,"sein(AKTIV, REIHE)","Wenn man aktiv spielt, dann versucht man Reihen zu beenden."
Strategien,"sein(AKTIV, TAKTIK)",Man kann aktiv spielen.
Strategien,"haben(QUARTO, TAKTIK)",Quarto hat Taktiken.
