category;adapted item;scale
AU1;Der Erklärer ist einfach zu bedienen. ;7point likert scale
AE4;Die Interaktion mit dem Erklärer ist unangenehm.;7point likert scale
AU2;Mit dem Erklärer zusammen zu arbeiten ist leicht erlernbar.;7point likert scale
AL3;Ich mag den Erklärer nicht.;7point likert scale
AS1;Der Erklärer kann sich gut mit anderen unterhalten.;7point likert scale
AI4;Der Erklärer ist in der Lage eigene Entscheidungen zu treffen. ;7point likert scale
AC4;Der Erklärer scheint verwirrt zu sein. ;7point likert scale
ATTENTION;Wählen Sie 'Stimme zu' aus.;7point likert scale
AU3;Mit dem Erklärer zu kommunizieren ist schnell erlernbar.;7point likert scale
AS3;Der Erklärer interagiert sozial mit mir.;7point likert scale
UAA2;Ich kann mir vorstellen den Erklärer in Zukunft zu verwenden. ;7point likert scale
AL2;Ich mag den Erklärer.;7point likert scale
UAA3;Mir widerstrebt eine weitere Interaktion mit dem Erklärer. ;7point likert scale
AE1;Der Erklärer ist langweilig.;7point likert scale
AI3;Der Erklärer hat keine Ahnung was er tut.;7point likert scale
AE2;Es ist interessant mit dem Erklärer zu interagieren.;7point likert scale
UAA1;Ich werde den Erklärer in Zukunft wieder verwenden.;7point likert scale
AE3;Ich habe Spaß daran mit dem Erklärer zu interagieren. ;7point likert scale
UE1;Ich war während der Interaktion mit dem Erklärer fokussiert.;7point likert scale
AT2;Ich bewerte die Interaktion als positiv.;7point likert scale
ATTENTION;Die Antwort zu dieser Frage ist das Feld ganz links;7point likert scale
AU1;Der Erklärer ist einfach zu bedienen. ;7point likert scale
AE4;Die Interaktion mit dem Erklärer ist unangenehm.;7point likert scale
AU2;Mit dem Erklärer zusammen zu arbeiten ist leicht erlernbar.;7point likert scale
AL3;Ich mag den Erklärer nicht.;7point likert scale
AS1;Der Erklärer kann sich gut mit anderen unterhalten.;7point likert scale
AI4;Der Erklärer ist in der Lage eigene Entscheidungen zu treffen. ;7point likert scale
AC3;Der Erklärer ist inkonsistent.;7point likert scale
AC4;Der Erklärer scheint verwirrt zu sein. ;7point likert scale
ATTENTION;Wählen Sie 'Stimme zu' aus.;7point likert scale
AS2;Es ist leicht, sich mit dem Erklärer zu unterhalten. ;7point likert scale
AU3;Mit dem Erklärer zu kommunizieren ist schnell erlernbar.;7point likert scale
AS3;Der Erklärer interagiert sozial mit mir.;7point likert scale
AL2;Ich mag den Erklärer.;7point likert scale
UAA3;Mir widerstrebt eine weitere Interaktion mit dem Erklärer. ;7point likert scale
AE1;Der Erklärer ist langweilig.;7point likert scale
AI3;Der Erklärer hat keine Ahnung was er tut.;7point likert scale
AE2;Es ist interessant mit dem Erklärer zu interagieren.;7point likert scale
UAA1;Ich werde den Erklärer in Zukunft wieder verwenden.;7point likert scale
AE3;Ich habe Spaß daran mit dem Erklärer zu interagieren. ;7point likert scale
UE1;Ich war während der Interaktion mit dem Erklärer fokussiert.;7point likert scale
AT2;Ich bewerte die Interaktion als positiv.;7point likert scale
ATTENTION;Die Antwort zu dieser Frage ist das Feld ganz links;7point likert scale
UE2;Die Interaktion zog meine Aufmerksamkeit auf sich. ;7point likert scale
UT1;Der Erklärer gibt immer gute Ratschläge.;7point likert scale
AL4;Der Erklärer ist kooperativ.;7point likert scale
UT2;Der Erklärer handelt wahrheitsgemäß.;7point likert scale
AT2;Ich bewerte die Interaktion als positiv.;7point likert scale
AT3;Ich schätze die Interaktion mit dem Erklärer als negativ ein.;7point likert scale
UT3;Ich kann mich auf den Erklärer verlassen.;7point likert scale
AA1;Die Aufmerksamkeit des Erklärer bleibt die gesamte Interaktion über auf mir.;7point likert scale
AL4;Der Erklärer ist kooperativ.;7point likert scale
AL5;Ich möchte mit dem Erklärer Zeit verbringen. ;7point likert scale
AA3;Ich erhalte die volle Aufmerksamkeit des Erklärer während der Interaktion.;7point likert scale
AC1;Das Verhalten des Erklärer ergibt keinen Sinn.;7point likert scale
ATTENTION;Wählen Sie 'neutral' als Antwort aus.;7point likert scale
AC2;Das Verhalten des Erklärer ist irrational.;7point likert scale
AI1;Der Erklärer handelt mit Absicht. ;7point likert scale
AI2;Der Erklärer weiß was er tut.;7point likert scale
AT1;Ich sehe die Interaktion mit dem Erklärer als etwas Positives.;7point likert scale
UE3;Ich war während der Interaktion mit dem Erklärer wachsam.;7point likert scale
AA2;Der Erklärer ist aufmerksam.;7point likert scale
