Index,Block,Start Node,Relation,End Node,Sentence,Condition,Complexity,Example
1,Spiel,Spiel,sein,Brettspiel,Quarto ist ein Brettspiel.,,1,
2,Spiel,Brettspiel,sein,Gesellschaftsspiel,Quarto ist ein Gesellschaftsspiel.,,1,
3,Spiel,Spiel,sein,Komplex,Quarto ist komplex.,"(Spiel, sein, Brettspiel)",1,
4,Spiel,Spiel,dauern,ungefähr_Zehn_Minuten,Quarto dauert ungefähr zehn Minuten. ,"(Spiel, sein, Brettspiel)",1,"[“Wenn das Spiel schnell geht, dann dauert es zum Beispiel nur 5 Minuten.” , “Ein langes Spiel kann auch mal 15 Minuten gehen.” , “Wenn ein Spiel zum Beispiel lange dauert, dann ist es über 10 Minuten lang.”]"
5,Spieler,Spiel,haben,Spieler,Quarto hat Spieler. ,"(Spiel, sein, Brettspiel)",1,"[“Zum Beispiel dich und mich.”, “ Also du und eine Freundin zum Beispiel.”]"
6,Spieler,Spieler,Anzahl_haben,zwei,Quarto hat zwei Spieler. ,"(Spiel, haben, Spieler)",1,"[“Also du, eins, und ich, zwei.”]"
8,Spieler,Spieler,reihenfolge,Abwechselnd,Die Spieler spielen abwechselnd. ,"(Spiel, haben, Spieler)",1,"[“Also zum Beispiel bist erst du dran, dann ich und dann wieder du.” , “Also zum Beispiel Spieler 1, dann Spieler 2, dann wieder Spieler 1 und so weiter.”]"
9,Spieler,Gegner,spielen,Gegeneinander,Gegner spielen gegeneinander.,"(Spiel, haben, Spieler)",1,"[“Also wenn wir zusammen spielen, dann spiele ich gegen dich und du gegen mich.”]"
,Spieler,Spieler,sein,Gegner,Die Spieler sind Gegner. ,"(Spiel, haben, Spieler)",1,
10,Ende,Spiel,haben,Spielausgang,Quarto hat verschiedene Spielausgänge. ,"(Spiel, sein, Brettspiel)",1,
11,Ende,Spielausgang,Anzahl_haben,drei,Quarto hat drei mögliche Spielausgänge. ," (Spiel, haben, Spielausgang)",1,
12,Ende,Spielausgang,sein_können,Sieg,Quarto kann mit einem Sieg enden. ," (Spiel, haben, Spielausgang),(Spielausgang, Anzahl, drei)",1,"[“Wenn du zum Beispiel zuerst fertig bist, dann hast du gewonnen.”]"
13,Ende,Spielausgang,sein_können,Unentschieden,Quarto kann mit einem Unentschieden enden. ," (Spiel, haben, Spielausgang),(Spielausgang, Anzahl, drei)",1,"[“Wenn zum Beispiel keiner der Spieler fertig ist aber alle Figuren gesetzt sind, dann ist das ein Unentschieden.""]"
14,Ende,Spielausgang,sein_können,Niederlage,Quarto kann mit einer Niederlage enden. ," (Spiel, haben, Spielausgang),(Spielausgang, Anzahl, drei)",1,"[“Wenn wir gegeneinander spielen und ich bin zuerst fertig, hast du verloren.”]"
15,Ende,Sieg,bedingung_haben,Rufen,Ein Sieg hat die Aktion “Rufen” als Vorbedingung. ," (Spielausgang, option, Sieg)",1,"[“Wenn ich zum Beispiel eine Reihe abschließe, dann muss ich Quarto rufen, um zu gewinnen.”, “Wenn du also eine Reihe bildest und das Rufen vergisst, dann hast du nicht gewonnen.” , “Wenn du zum Beispiel eine Reihe fertig machst und vergisst zu Rufen, dann kann ich Quarto Rufen und habe gewonnen.”]"
16,Ende,Reihe,erzeugen,Siegchance,Das Bilden einer Reihe erzeugt eine Siegchance. ," (Reihe, sein, Ziel), (Rufen, bedingung_haben, Reihe)",1,"[“Wenn du zum Beispiel eine Reihe aus vier großen Figuren stellst, dann hast du die Chance auf einen Sieg.”]"
17,Spielziel,Spiel,haben,Ziel,Quarto hat ein Ziel. ," (Spiel, sein, Brettspiel)",1,
18,Spielziel,Reihe,sein,Ziel,Das Ziel von Quarto ist das Bilden einer Reihe. ," (Spiel, haben, Ziel),(Spiel, haben, Spielfigur),(Spiel, haben, Spielbrett)",1,
